,Order Node,Hub No.,Time of Order,Waiting Time,Time of Delivery,Time To Reach,Previous Location,Car Index,Battery Left in Car
20,42934342,7,Day 0 - 0:34:55,Day 0 - 1:14:28,Day 0 - 0:37:31,Day 0 - 0:2:36,42861660,1,5
21,42506637,1,Day 0 - 0:34:56,Day 0 - 1:1:33,Day 0 - 0:58:16,Day 0 - 0:23:20,42492633,2,5
22,42809642,7,Day 0 - 0:36:21,Day 0 - 1:7:20,Day 0 - 0:39:14,Day 0 - 0:2:53,42861660,2,5
23,42470908,1,Day 0 - 0:39:4,Day 0 - 0:49:32,Day 0 - 0:44:54,Day 0 - 0:5:50,42492633,3,5
24,42495315,1,Day 0 - 0:41:21,Day 0 - 0:21:47,Day 0 - 0:56:21,Day 0 - 0:15:0,42492633,4,5
25,42806466,3,Day 0 - 0:42:27,Day 0 - 0:20:20,Day 0 - 0:47:52,Day 0 - 0:5:25,42819599,0,4
26,597311311,3,Day 0 - 0:48:4,Day 0 - 0:29:31,Day 0 - 0:50:16,Day 0 - 0:2:12,42819599,2,5
27,42851747,3,Day 0 - 0:49:8,Day 0 - 1:0:42,Day 0 - 0:56:1,Day 0 - 0:6:53,42819599,3,5
28,448151945,6,Day 0 - 0:52:1,Day 0 - 0:32:16,Day 0 - 1:3:41,Day 0 - 0:11:40,42460288,1,5
29,2855741769,0,Day 0 - 0:55:15,Day 0 - 0:45:33,Day 0 - 0:57:45,Day 0 - 0:2:30,42742875,0,5
30,42904480,3,Day 0 - 0:57:46,Day 0 - 1:42:6,Day 0 - 0:59:53,Day 0 - 0:2:7,42819599,4,5
31,103070839,15,Day 0 - 1:0:55,Day 0 - 1:31:57,Day 0 - 1:4:50,Day 0 - 0:3:55,42769868,1,5
32,42443332,11,Day 0 - 1:0:59,Day 0 - 1:36:57,Day 0 - 1:5:8,Day 0 - 0:4:9,42430384,0,5
33,42883602,5,Day 0 - 1:3:11,Day 0 - 1:24:34,Day 0 - 1:9:1,Day 0 - 0:5:50,588175740,0,4
34,42753468,13,Day 0 - 1:12:7,Day 0 - 1:24:24,Day 0 - 1:14:57,Day 0 - 0:2:50,42756259,1,5
35,42509258,10,Day 0 - 1:14:23,Day 0 - 1:37:50,Day 0 - 1:19:20,Day 0 - 0:4:57,42437074,0,5
36,103243103,14,Day 0 - 1:16:53,Day 0 - 1:43:30,Day 0 - 1:34:23,Day 0 - 0:17:30,298771431,1,5
37,42474052,10,Day 0 - 1:16:57,Day 0 - 0:11:59,Day 0 - 1:24:56,Day 0 - 0:7:59,42437074,1,5
38,42761060,13,Day 0 - 1:22:32,Day 0 - 0:12:0,Day 0 - 1:25:23,Day 0 - 0:2:51,42756259,0,4
39,42436060,10,Day 0 - 1:23:27,Day 0 - 0:58:39,Day 0 - 1:30:13,Day 0 - 0:6:46,42437074,2,5
40,42882401,17,Day 0 - 1:23:55,Day 0 - 1:32:19,Day 0 - 1:38:55,Day 0 - 0:15:0,42898015,1,5
41,449618008,2,Day 0 - 1:28:59,Day 0 - 0:51:54,Day 0 - 1:35:11,Day 0 - 0:6:12,42465250,1,5
42,42897366,7,Day 0 - 1:30:41,Day 0 - 1:8:12,Day 0 - 1:52:52,Day 0 - 0:22:11,42861660,3,5
43,42460225,6,Day 0 - 1:37:42,Day 0 - 1:6:54,Day 0 - 1:53:32,Day 0 - 0:15:50,42460288,2,5
44,42434954,11,Day 0 - 1:38:2,Day 0 - 1:32:55,Day 0 - 1:43:52,Day 0 - 0:5:50,42430384,1,5
45,42787927,17,Day 0 - 1:40:46,Day 0 - 1:15:40,Day 0 - 1:48:47,Day 0 - 0:8:1,42898015,0,3
46,2288236009,1,Day 0 - 1:42:7,Day 0 - 1:58:10,Day 0 - 1:54:37,Day 0 - 0:12:30,42495315,4,4
47,42753959,18,Day 0 - 1:46:26,Day 0 - 1:0:30,Day 0 - 1:59:46,Day 0 - 0:13:20,42737745,0,5
48,103214353,9,Day 0 - 1:47:15,Day 0 - 0:23:58,Day 0 - 1:58:4,Day 0 - 0:10:49,103139586,0,5
49,42468416,12,Day 0 - 1:47:37,Day 0 - 1:30:27,Day 0 - 2:6:0,Day 0 - 0:18:23,42477756,3,4
50,42732780,18,Day 0 - 1:54:18,Day 0 - 1:54:3,Day 0 - 2:10:58,Day 0 - 0:16:40,42737745,1,5
51,103885230,4,Day 0 - 1:58:48,Day 0 - 1:58:38,Day 0 - 2:4:31,Day 0 - 0:5:43,103855635,0,5
52,42472909,1,Day 0 - 2:1:5,Day 0 - 1:41:45,Day 0 - 2:34:37,Day 0 - 0:30:0,2288236009,4,3
53,486863762,10,Day 0 - 2:2:31,Day 0 - 1:45:30,Day 0 - 2:5:11,Day 0 - 0:2:40,42437074,0,4
54,42486999,1,Day 0 - 2:3:43,Day 0 - 1:7:9,Day 0 - 2:10:23,Day 0 - 0:6:40,42472909,1,4
55,42818924,17,Day 0 - 2:6:28,Day 0 - 1:54:24,Day 0 - 2:15:38,Day 0 - 0:9:10,42898015,1,4
56,42503169,12,Day 0 - 2:8:8,Day 0 - 1:5:9,Day 0 - 2:13:32,Day 0 - 0:5:24,42477756,4,5
57,1642923310,12,Day 0 - 2:8:53,Day 0 - 1:16:52,Day 0 - 2:11:14,Day 0 - 0:2:21,42503169,2,4
58,42750254,13,Day 0 - 2:14:14,Day 0 - 0:15:57,Day 0 - 2:17:8,Day 0 - 0:2:54,42756259,2,5
59,1167466198,1,Day 0 - 2:17:23,Day 0 - 1:49:52,Day 0 - 2:33:13,Day 0 - 0:15:50,42472909,2,4
60,42476669,3,Day 0 - 2:17:56,Day 0 - 0:56:39,Day 0 - 2:20:0,Day 0 - 0:2:4,42904480,2,4
61,42515065,12,Day 0 - 2:21:47,Day 0 - 1:39:31,Day 0 - 2:28:30,Day 0 - 0:4:58,42503169,4,4
62,42836761,19,Day 0 - 2:23:10,Day 0 - 0:45:42,Day 0 - 2:35:40,Day 0 - 0:12:30,42806439,1,5
63,42497091,1,Day 0 - 2:27:49,Day 0 - 0:39:44,Day 0 - 2:54:37,Day 0 - 0:10:0,42472909,4,2
64,42821434,19,Day 0 - 2:29:7,Day 0 - 0:22:57,Day 0 - 2:43:17,Day 0 - 0:14:10,42806439,2,5
65,42755126,16,Day 0 - 2:29:36,Day 0 - 0:12:59,Day 0 - 2:31:52,Day 0 - 0:2:16,42743701,0,4
66,42890470,3,Day 0 - 2:35:30,Day 0 - 1:50:10,Day 0 - 2:39:11,Day 0 - 0:3:41,42904480,4,4
67,42836744,19,Day 0 - 2:38:13,Day 0 - 0:26:7,Day 0 - 2:49:0,Day 0 - 0:3:20,42806439,1,4
68,42516224,10,Day 0 - 2:38:24,Day 0 - 0:15:15,Day 0 - 2:43:6,Day 0 - 0:4:42,42437074,1,4
69,42536267,12,Day 0 - 2:41:32,Day 0 - 1:58:21,Day 0 - 2:53:8,Day 0 - 0:11:36,42515065,1,4
70,103872358,4,Day 0 - 2:41:42,Day 0 - 1:29:45,Day 0 - 2:48:5,Day 0 - 0:6:23,103855635,1,5
71,103296386,14,Day 0 - 2:43:49,Day 0 - 1:18:41,Day 0 - 2:51:19,Day 0 - 0:7:30,298771431,1,4
72,535061707,7,Day 0 - 2:44:36,Day 0 - 1:41:19,Day 0 - 2:52:3,Day 0 - 0:7:27,42861660,2,4
73,42489467,10,Day 0 - 2:45:1,Day 0 - 0:17:39,Day 0 - 2:49:8,Day 0 - 0:4:7,42437074,0,3
74,42515572,17,Day 0 - 2:46:5,Day 0 - 0:43:27,Day 0 - 2:56:1,Day 0 - 0:9:56,42898015,0,2
75,42450037,8,Day 0 - 2:47:5,Day 0 - 0:17:37,Day 0 - 2:51:44,Day 0 - 0:4:39,42429552,1,5
76,42444750,8,Day 0 - 2:49:42,Day 0 - 0:31:32,Day 0 - 2:52:15,Day 0 - 0:2:33,42429552,2,5
77,42482608,1,Day 0 - 2:50:11,Day 0 - 1:59:34,Day 0 - 3:9:21,Day 0 - 0:19:10,42497091,2,3
78,103132980,14,Day 0 - 2:51:1,Day 0 - 0:17:16,Day 0 - 2:53:31,Day 0 - 0:2:30,298771431,0,4
79,42823417,7,Day 0 - 2:51:5,Day 0 - 1:28:52,Day 0 - 2:54:34,Day 0 - 0:3:29,42861660,1,4
80,103119598,14,Day 0 - 2:51:7,Day 0 - 1:31:8,Day 0 - 3:13:37,Day 0 - 0:22:30,298771431,2,5
81,103855531,4,Day 0 - 2:52:5,Day 0 - 1:43:28,Day 0 - 2:59:35,Day 0 - 0:7:30,103855635,0,4
82,42494539,2,Day 0 - 2:53:8,Day 0 - 0:40:9,Day 0 - 2:56:6,Day 0 - 0:2:58,42465250,0,4
83,42506089,1,Day 0 - 2:54:50,Day 0 - 0:35:22,Day 0 - 3:5:40,Day 0 - 0:10:50,42497091,3,4
84,440215440,9,Day 0 - 2:58:52,Day 0 - 1:1:22,Day 0 - 3:13:25,Day 0 - 0:14:33,103139586,1,5
85,42508962,1,Day 0 - 3:0:36,Day 0 - 1:34:4,Day 0 - 3:29:46,Day 0 - 0:29:10,42497091,1,3
86,42436149,10,Day 0 - 3:0:51,Day 0 - 1:54:40,Day 0 - 3:5:0,Day 0 - 0:4:9,42437074,2,4
87,42486070,1,Day 0 - 3:5:57,Day 0 - 0:56:52,Day 0 - 3:28:31,Day 0 - 0:9:10,42497091,2,2
88,42531586,1,Day 0 - 3:7:16,Day 0 - 1:41:1,Day 0 - 3:27:20,Day 0 - 0:11:40,42497091,3,3
89,42745387,0,Day 0 - 3:9:48,Day 0 - 0:52:16,Day 0 - 3:21:28,Day 0 - 0:11:40,42742875,1,5
90,42432558,11,Day 0 - 3:11:44,Day 0 - 0:41:52,Day 0 - 3:12:13,Day 0 - 0:0:29,42430384,0,4
91,103211087,9,Day 0 - 3:13:4,Day 0 - 1:0:9,Day 0 - 3:15:34,Day 0 - 0:2:30,103139586,0,4
92,42503869,12,Day 0 - 3:13:31,Day 0 - 1:46:38,Day 0 - 3:16:43,Day 0 - 0:3:12,42515065,0,4
93,103258506,14,Day 0 - 3:14:6,Day 0 - 1:35:49,Day 0 - 3:24:6,Day 0 - 0:10:0,298771431,3,5
94,42861560,7,Day 0 - 3:16:54,Day 0 - 0:34:10,Day 0 - 3:18:38,Day 0 - 0:1:44,42861660,4,5
95,42434090,11,Day 0 - 3:17:53,Day 0 - 1:16:45,Day 0 - 3:20:35,Day 0 - 0:2:42,42430384,1,4
96,42432897,8,Day 0 - 3:18:5,Day 0 - 0:47:14,Day 0 - 3:19:42,Day 0 - 0:1:37,42429552,3,5
97,103174038,9,Day 0 - 3:20:10,Day 0 - 1:12:38,Day 0 - 3:28:22,Day 0 - 0:8:12,103139586,2,5
98,42733890,16,Day 0 - 3:25:20,Day 0 - 0:36:58,Day 0 - 3:28:26,Day 0 - 0:3:6,42743701,1,5
99,42845922,3,Day 0 - 3:26:26,Day 0 - 1:21:26,Day 0 - 3:28:20,Day 0 - 0:1:54,42890470,0,3
100,42812922,7,Day 0 - 3:28:41,Day 0 - 0:50:18,Day 0 - 3:44:47,Day 0 - 0:16:6,42861560,1,3
101,452242955,1,Day 0 - 3:28:44,Day 0 - 1:26:25,Day 0 - 3:51:14,Day 0 - 0:22:30,42497091,4,1
102,42773976,0,Day 0 - 3:30:11,Day 0 - 0:30:11,Day 0 - 3:37:41,Day 0 - 0:7:30,42742875,2,5
103,42439384,11,Day 0 - 3:34:49,Day 0 - 0:23:38,Day 0 - 3:41:7,Day 0 - 0:6:18,42430384,1,3
104,42471787,2,Day 0 - 3:35:45,Day 0 - 1:54:1,Day 0 - 3:37:2,Day 0 - 0:1:17,42465250,0,3
105,42515033,12,Day 0 - 3:36:0,Day 0 - 1:29:17,Day 0 - 3:37:34,Day 0 - 0:1:34,42515065,0,3
106,42768178,15,Day 0 - 3:37:7,Day 0 - 1:20:2,Day 0 - 3:40:7,Day 0 - 0:3:0,42769868,2,5
107,42492773,1,Day 0 - 3:39:14,Day 0 - 1:3:41,Day 0 - 3:55:4,Day 0 - 0:15:50,42492633,2,1
108,42498598,2,Day 0 - 3:40:30,Day 0 - 0:43:32,Day 0 - 3:44:53,Day 0 - 0:4:23,42465250,2,5
109,103886721,4,Day 0 - 3:49:31,Day 0 - 0:29:25,Day 0 - 3:54:10,Day 0 - 0:4:39,103855635,2,5
110,42432102,10,Day 0 - 3:49:44,Day 0 - 1:15:37,Day 0 - 3:50:50,Day 0 - 0:1:6,42437074,3,5
111,42430761,10,Day 0 - 3:51:7,Day 0 - 1:9:38,Day 0 - 3:53:55,Day 0 - 0:2:48,42437074,2,3
112,598035431,10,Day 0 - 3:51:16,Day 0 - 0:36:36,Day 0 - 3:54:55,Day 0 - 0:3:39,42437074,0,2
113,42484216,3,Day 0 - 3:55:43,Day 0 - 1:30:42,Day 0 - 3:58:0,Day 0 - 0:2:17,42890470,2,3
114,60811758,14,Day 0 - 3:57:46,Day 0 - 1:27:29,Day 0 - 4:3:36,Day 0 - 0:5:50,298771431,0,3
115,2025209406,16,Day 0 - 3:59:43,Day 0 - 1:52:42,Day 0 - 4:3:11,Day 0 - 0:3:28,42743701,0,3
116,42495242,6,Day 0 - 4:1:31,Day 0 - 0:56:26,Day 0 - 4:9:1,Day 0 - 0:7:30,42460288,2,4
117,42935486,3,Day 0 - 4:1:35,Day 0 - 0:20:2,Day 0 - 4:3:49,Day 0 - 0:2:14,42890470,3,4
118,42719533,0,Day 0 - 4:4:9,Day 0 - 1:35:1,Day 0 - 4:21:39,Day 0 - 0:17:30,42742875,0,4
119,103131034,14,Day 0 - 4:13:47,Day 0 - 1:13:19,Day 0 - 4:25:27,Day 0 - 0:11:40,298771431,0,2
120,42750926,18,Day 0 - 4:17:5,Day 0 - 1:2:29,Day 0 - 4:32:55,Day 0 - 0:15:50,42737745,1,4
121,42842144,19,Day 0 - 4:19:58,Day 0 - 0:50:25,Day 0 - 4:26:38,Day 0 - 0:6:40,42806439,3,5
122,42466347,1,Day 0 - 4:20:25,Day 0 - 0:27:3,Day 0 - 4:26:15,Day 0 - 0:5:50,42492633,1,2
123,42493451,12,Day 0 - 4:20:47,Day 0 - 1:13:29,Day 0 - 4:32:25,Day 0 - 0:11:38,42515065,0,2
124,42464273,10,Day 0 - 4:34:39,Day 0 - 0:33:52,Day 0 - 4:37:25,Day 0 - 0:2:46,42437074,0,1
125,42431363,11,Day 0 - 4:36:47,Day 0 - 1:23:26,Day 0 - 4:39:34,Day 0 - 0:2:47,42430384,0,3
126,451051793,2,Day 0 - 4:37:9,Day 0 - 0:40:29,Day 0 - 4:38:39,Day 0 - 0:1:30,42465250,1,4
127,103247210,14,Day 0 - 4:39:39,Day 0 - 0:27:6,Day 0 - 4:49:39,Day 0 - 0:10:0,298771431,0,1
128,103245162,9,Day 0 - 4:45:0,Day 0 - 1:17:28,Day 0 - 4:55:0,Day 0 - 0:10:0,103139586,1,4
129,42436541,8,Day 0 - 4:46:27,Day 0 - 1:39:3,Day 0 - 4:47:35,Day 0 - 0:1:8,42429552,1,4
130,42438235,8,Day 0 - 4:46:29,Day 0 - 0:17:32,Day 0 - 4:47:38,Day 0 - 0:1:9,42429552,2,4
131,103145876,14,Day 0 - 4:48:12,Day 0 - 0:59:52,Day 0 - 4:59:52,Day 0 - 0:11:40,298771431,2,4
132,42488752,12,Day 0 - 4:48:20,Day 0 - 1:42:48,Day 0 - 4:55:1,Day 0 - 0:6:41,42515065,2,3
133,42466191,2,Day 0 - 4:55:38,Day 0 - 1:3:37,Day 0 - 4:58:19,Day 0 - 0:2:41,42465250,3,5
134,42482848,6,Day 0 - 4:55:45,Day 0 - 0:29:20,Day 0 - 5:12:25,Day 0 - 0:16:40,42460288,0,4
135,42881747,7,Day 0 - 4:57:49,Day 0 - 1:8:7,Day 0 - 5:1:9,Day 0 - 0:3:20,42861560,0,4
136,598291094,2,Day 0 - 4:57:52,Day 0 - 0:37:11,Day 0 - 5:4:28,Day 0 - 0:6:36,42465250,1,3
137,2494254854,2,Day 0 - 4:58:37,Day 0 - 0:25:42,Day 0 - 5:2:19,Day 0 - 0:3:42,42465250,0,2
